date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2016-07-18,sh.000025,1587.0610,1587.2710,1569.4800,1574.6090,1242767600,8826612736.0000,0.004810,1,-0.848300,,,,,
2016-07-19,sh.000025,1569.2990,1572.8380,1559.3140,1568.4470,969781200,6308956928.0000,0.003753,1,-0.391300,,,,,
2016-07-20,sh.000025,1566.6030,1568.6800,1559.9590,1561.3940,552360608,3517774176.0000,0.002138,1,-0.449700,,,,,
2016-07-21,sh.000025,1562.0900,1572.3480,1560.8080,1566.5770,692966000,4503206912.0000,0.002682,1,0.331900,,,,,
2016-07-22,sh.000025,1565.0550,1566.4170,1547.7180,1551.0210,693318896,4455707648.0000,0.002683,1,-0.993000,,,,,
2016-07-25,sh.000025,1549.2330,1557.0440,1545.5690,1551.2140,492720400,3186450352.0000,0.001907,1,0.012500,,,,,
2016-07-26,sh.000025,1549.8770,1567.6400,1548.8320,1567.0520,690915104,4325173248.0000,0.002674,1,1.021000,,,,,
2016-07-27,sh.000025,1568.6860,1586.9690,1536.5200,1573.4670,1922005600,12161568768.0000,0.007438,1,0.409400,,,,,
2016-07-28,sh.000025,1563.5870,1598.4830,1556.7840,1592.1850,1599359008,10099348480.0000,0.006190,1,1.189600,,,,,
2016-07-29,sh.000025,1591.6360,1604.8180,1580.8780,1583.8750,1374385808,8699182592.0000,0.005319,1,-0.521900,,,,,
2016-08-01,sh.000025,1582.2750,1585.1850,1568.7280,1578.6560,1083189200,6969121536.0000,0.004192,1,-0.329500,,,,,
2016-08-02,sh.000025,1577.3310,1585.1210,1573.7140,1584.3820,743384000,4959559424.0000,0.002877,1,0.362700,,,,,
2016-08-03,sh.000025,1578.3700,1591.0760,1574.9950,1584.6990,821794496,5481725696.0000,0.003180,1,0.020000,,,,,
2016-08-04,sh.000025,1584.1170,1584.1170,1572.4330,1583.3180,717012704,4665265408.0000,0.002775,1,-0.087100,,,,,
2016-08-05,sh.000025,1581.4540,1587.5280,1576.8800,1577.8160,609724800,4062145728.0000,0.002360,1,-0.347500,,,,,
2016-08-08,sh.000025,1576.8070,1596.7360,1571.5680,1596.4730,760388800,5068787200.0000,0.002943,1,1.182500,,,,,
2016-08-09,sh.000025,1596.2930,1624.0600,1594.6550,1621.0220,1338828496,9025500160.0000,0.005181,1,1.537700,,,,,
2016-08-10,sh.000025,1619.6550,1623.2890,1613.3850,1614.6500,921187696,6285266688.0000,0.003565,1,-0.393100,,,,,
2016-08-11,sh.000025,1613.5190,1620.1000,1604.8680,1605.9580,796213008,5442557184.0000,0.003081,1,-0.538300,,,,,
2016-08-12,sh.000025,1607.4830,1635.4530,1606.3870,1635.4530,1192715408,7869621504.0000,0.004616,1,1.836600,,,,,
2016-08-15,sh.000025,1640.0090,1684.4280,1640.0090,1674.4330,2448296096,16374737408.0000,0.009475,1,2.383400,,,,,
2016-08-16,sh.000025,1681.7180,1708.5410,1670.3410,1672.7710,2285358800,15879263488.0000,0.008844,1,-0.099300,,,,,
2016-08-17,sh.000025,1671.1650,1681.7640,1661.8380,1678.6550,1273735904,8857429504.0000,0.004929,1,0.351800,,,,,
2016-08-18,sh.000025,1685.0060,1699.1170,1668.6890,1674.6090,1654094096,10740584192.0000,0.006401,1,-0.241000,,,,,
2016-08-19,sh.000025,1672.2920,1702.9460,1657.4500,1695.2940,1954063504,13299570944.0000,0.007562,1,1.235200,,,,,
2016-08-22,sh.000025,1694.5850,1700.2240,1671.4220,1672.2500,1451296400,10275979776.0000,0.005617,1,-1.359300,,,,,
2016-08-23,sh.000025,1669.3450,1682.8650,1660.1090,1668.5080,1066247904,7411964416.0000,0.004126,1,-0.223800,,,,,
2016-08-24,sh.000025,1670.9030,1674.6250,1661.2740,1665.2470,853321504,5571300608.0000,0.003302,1,-0.195500,,,,,
2016-08-25,sh.000025,1657.1840,1657.1840,1635.2710,1644.3140,974339408,6279430400.0000,0.003771,1,-1.257000,,,,,
