date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2012-06-07,sh.601800,3.9079448400,3.9154027500,3.8333657400,3.8408236500,30681645,159424282.0000,2,3.664961,1,-0.961500,7.216101,0.284751,8.702835,1.057007,0
2012-06-08,sh.601800,3.8706552900,3.8706552900,3.8259078300,3.8482815600,28925389,149312384.0000,2,3.455174,1,0.194200,7.230113,0.285304,8.719734,1.059060,0
2012-06-11,sh.601800,3.8631973800,3.8706552900,3.8184499200,3.8557394700,49046548,253049502.0000,2,4.211626,1,0.193800,7.244125,0.285857,8.736632,1.061112,0
2012-06-12,sh.601800,3.8184499200,3.8408236500,3.7587866400,3.7737024600,42258509,215490083.0000,2,3.628737,1,-2.127700,7.089994,0.279775,8.550747,1.038535,0
2012-06-13,sh.601800,3.7811603700,3.8184499200,3.7737024600,3.8035341000,46763855,238326863.0000,2,4.015611,1,0.790500,7.146042,0.281987,8.618341,1.046745,0
2012-06-14,sh.601800,3.7886182800,3.7960761900,3.7289550000,3.7438708200,39881499,200933926.0000,2,3.424623,1,-1.568600,7.033947,0.277563,8.483152,1.030325,0
2012-06-15,sh.601800,3.7513287300,3.7960761900,3.7289550000,3.7886182800,29873615,150263538.0000,2,2.565247,1,1.195200,7.118018,0.280881,8.584544,1.042640,0
2012-06-18,sh.601800,3.7886182800,3.7960761900,3.7662445500,3.7737024600,18776703,95217425.0000,2,1.612355,1,-0.393700,7.089994,0.279775,8.550747,1.038535,0
2012-06-19,sh.601800,3.7811603700,3.7811603700,3.7214970900,3.7364129100,27132602,136239176.0000,2,2.329876,1,-0.988100,7.019935,0.277010,8.466253,1.028273,0
2012-06-20,sh.601800,3.7438708200,3.7513287300,3.6916654500,3.7289550000,30134458,150464270.0000,2,2.587645,1,-0.199600,7.005923,0.276457,8.449354,1.026221,0
2012-06-21,sh.601800,3.7214970900,3.7214970900,3.6618338100,3.6692917200,21979225,108567290.0000,2,1.887355,1,-1.600000,6.893828,0.272034,8.314165,1.009801,0
2012-06-25,sh.601800,3.6543759000,3.6692917200,3.6320021700,3.6320021700,15599261,76300313.0000,2,1.339508,1,-1.016300,6.823769,0.269270,8.229671,0.999539,0
2012-06-26,sh.601800,3.6170863500,3.6320021700,3.5797968000,3.6021705300,19302617,93226059.0000,2,1.657515,1,-0.821400,6.767722,0.267058,8.162076,0.991329,0
2012-06-27,sh.601800,3.5947126200,3.6170863500,3.5723388900,3.6021705300,24857910,119763444.0000,2,2.134548,1,0.000000,6.767722,0.267058,8.162076,0.991329,0
2012-06-28,sh.601800,3.6021705300,3.6096284400,3.5350493400,3.5425072500,15883816,76170832.0000,2,1.363943,1,-1.656300,6.655627,0.262635,8.026887,0.974909,0
2012-06-29,sh.601800,3.5275914300,3.5947126200,3.5201335200,3.5872547100,20891859,99966675.0000,2,1.793983,1,1.263200,6.739698,0.265952,8.128279,0.987224,0
2012-07-02,sh.601800,3.6021705300,3.6170863500,3.5648809800,3.6096284400,19302582,92848478.0000,2,1.657512,1,0.623700,6.781734,0.267611,8.178975,0.993381,0
2012-07-03,sh.601800,3.6021705300,3.6245442600,3.5797968000,3.5872547100,16710399,80711457.0000,2,1.434922,1,-0.619800,6.739698,0.265952,8.128279,0.987224,0
2012-07-04,sh.601800,3.5947126200,3.6096284400,3.5723388900,3.6021705300,13040240,62814934.0000,2,1.119765,1,0.415800,6.767722,0.267058,8.162076,0.991329,0
2012-07-05,sh.601800,3.5872547100,3.5947126200,3.5425072500,3.5947126200,16064628,76835474.0000,2,1.379469,1,-0.207000,6.753710,0.266505,8.145178,0.989277,0
2012-07-06,sh.601800,3.6021705300,3.6170863500,3.5648809800,3.6096284400,21858590,105278633.0000,2,1.876997,1,0.414900,6.781734,0.267611,8.178975,0.993381,0
2012-07-09,sh.601800,3.5947126200,3.5947126200,3.4977597900,3.5350493400,21201261,101046681.0000,2,1.820552,1,-2.066100,6.641615,0.262082,8.009988,0.972857,0
2012-07-10,sh.601800,3.5201335200,3.5872547100,3.5052177000,3.5350493400,20702217,98718680.0000,2,1.777699,1,0.000000,6.641615,0.262082,8.009988,0.972857,0
2012-07-11,sh.601800,3.5350493400,3.6096284400,3.5350493400,3.6096284400,19943910,95945649.0000,2,1.712583,1,2.109700,6.781734,0.267611,8.178975,0.993381,0
2012-07-12,sh.601800,3.6021705300,3.6245442600,3.5872547100,3.6021705300,17142551,82831590.0000,2,1.472030,1,-0.206600,6.767722,0.267058,8.162076,0.991329,0
2012-07-13,sh.601800,3.5947126200,3.6096284400,3.5797968000,3.5872547100,10513693,50636683.0000,2,0.902811,1,-0.414100,6.739698,0.265952,8.128279,0.987224,0
2012-07-16,sh.601800,3.5797968000,3.5872547100,3.4679281500,3.4679281500,23637128,111318412.0000,2,2.029720,1,-3.326400,6.515509,0.257105,7.857900,0.954385,0
2012-07-17,sh.601800,3.4679281500,3.4903018800,3.4380965100,3.4530123300,27585609,128113988.0000,2,2.368776,1,-0.430100,6.487485,0.256000,7.824102,0.950280,0
2012-07-18,sh.601800,3.4530123300,3.5648809800,3.4380965100,3.5574230700,37966316,178300579.0000,2,3.260167,1,3.023800,6.683651,0.263740,8.060684,0.979014,0
2012-07-19,sh.601800,3.5425072500,3.6320021700,3.5425072500,3.5947126200,34513080,166300149.0000,2,2.963637,1,1.048200,6.753710,0.266505,8.145178,0.989277,0
2012-07-20,sh.601800,3.6021705300,3.6096284400,3.5350493400,3.5723388900,14556407,69796517.0000,2,1.249958,1,-0.622400,6.711674,0.264846,8.094481,0.983119,0
2012-07-23,sh.601800,3.5425072500,3.5648809800,3.5126756100,3.5201335200,10927729,51739002.0000,2,0.938364,1,-1.461400,6.613591,0.260976,7.976190,0.968752,0
2012-07-24,sh.601800,3.5126756100,3.5574230700,3.4977597900,3.5425072500,10202366,48228262.0000,2,0.876077,1,0.635600,6.655627,0.262635,8.026887,0.974909,0
2012-07-25,sh.601800,3.5201335200,3.5648809800,3.4977597900,3.5350493400,16260521,77023734.0000,2,1.396291,1,-0.210500,6.641615,0.262082,8.009988,0.972857,0
2012-07-26,sh.601800,3.5201335200,3.6021705300,3.5052177000,3.5648809800,24242216,115547604.0000,2,2.081678,1,0.843900,6.697663,0.264293,8.077583,0.981067,0
2012-07-27,sh.601800,3.5726301400,3.5726301400,3.5261317000,3.5416311800,12226501,55975702.0000,2,1.049889,1,-0.652200,6.403414,0.252682,7.722710,0.937966,0
2012-07-30,sh.601800,3.5571306600,3.5648804000,3.5183819600,3.5261317000,11875213,54215844.0000,2,1.019724,1,-0.437600,6.375390,0.251576,7.688912,0.933861,0
2012-07-31,sh.601800,3.5183819600,3.5416311800,3.4796332600,3.4873830000,15083825,68152453.0000,2,1.295248,1,-1.098900,6.305331,0.248812,7.604419,0.923598,0
2012-08-01,sh.601800,3.4873830000,3.5648804000,3.4718835200,3.5571306600,17386562,79315869.0000,2,1.492984,1,2.000000,6.431437,0.253788,7.756507,0.942070,0
2012-08-02,sh.601800,3.5493809200,3.6191285800,3.5261317000,3.6113788400,21054788,96919189.0000,2,1.807974,1,1.525100,6.529520,0.257658,7.874798,0.956438,0
2012-08-03,sh.601800,3.5958793600,3.6268783200,3.5803798800,3.6191285800,18448132,85948692.0000,2,1.584141,1,0.214600,6.543532,0.258211,7.891697,0.958490,0
2012-08-06,sh.601800,3.5958793600,3.6423778000,3.5881296200,3.6191285800,28809896,134776160.0000,2,2.473905,1,0.000000,6.543532,0.258211,7.891697,0.958490,0
